type,time,latitude,longitude,altitude (m),speed (km/h),pace (min/km),course,distance (km),distance_interval (m),color,name
T,10:46:11,52.3583759,4.951062463,9.9,1.8,34.24,66,2.624,4.87,,
T,10:46:26,52.35837062,4.951163884,10,1.7,36.05,94.9,2.631,6.93,,
T,10:46:30,52.35837288,4.951203531,9.7,2.4,24.57,84.7,2.634,2.71,,
T,10:46:36,52.35834656,4.951251475,9.8,2.6,22.79,132,2.638,4.39,,
T,10:46:49,52.35837674,4.951279974,9.5,1.1,55.86,30,2.642,3.88,,
T,10:47:02,52.35841697,4.951301096,9.4,1.3,46.08,17.8,2.647,4.7,,
T,10:47:10,52.35845377,4.951382233,9.5,3.1,19.38,53.4,2.654,6.88,,
T,10:47:18,52.35846324,4.951472087,9.4,2.8,21.47,80.2,2.66,6.21,,
T,10:47:27,52.35847891,4.951582644,8.9,3.1,19.4,76.9,2.668,7.73,,
T,10:47:35,52.35850674,4.95169295,9.3,3.7,16.4,67.6,2.676,8.13,,
T,10:47:44,52.35852107,4.951723125,9.3,1,57.65,52.1,2.679,2.6,,
T,10:47:54,52.3585313,4.95173905,9.1,0.6,106.01,43.6,2.68,1.57,,
T,10:48:04,52.3585764,4.95171709,8.3,1.9,31.83,343.4,2.685,5.24,,
T,10:48:13,52.35861537,4.951724215,8.6,1.7,34.37,6.4,2.69,4.36,,
T,10:48:18,52.35864705,4.951710468,8.7,2.6,22.84,345.2,2.693,3.65,,
T,10:48:25,52.35871143,4.951655483,8.6,4.2,14.43,332.5,2.701,8.08,,
T,10:48:26,52.35871914,4.95164576,8.4,3.9,15.38,322.4,2.703,1.08,,
T,10:48:30,52.35875275,4.951560265,8.8,6.2,9.63,302.8,2.709,6.92,,
T,10:48:37,52.35890823,4.951346694,9.8,11.6,5.16,320,2.732,22.61,,
T,10:48:45,52.35909205,4.951170674,9.3,10.7,5.62,329.7,2.756,23.71,,
T,10:48:51,52.35925013,4.95103078,9.2,12,5,331.6,2.776,20.01,,
T,10:48:57,52.35937469,4.950913684,8.7,9.6,6.25,330.1,2.792,15.99,,
T,10:49:04,52.3594368,4.950851323,8.3,4.2,14.38,328.5,2.8,8.11,,
