x,y,lat,long,ribbon collected
615,507,52.35821882220472,4.9520379359090905,
613,507,52.35821882220472,4.9520232143939396,
611,507,52.35821882220472,4.952008492878788,
610,506,52.35822680440945,4.952001132121212,
609,505,52.35823478661417,4.951993771363636,
608,504,52.3582427688189,4.95198641060606,
607,503,52.35825075102362,4.951979049848485,
605,503,52.35825075102362,4.951964328333333,
604,502,52.35825873322835,4.951956967575757,
602,502,52.35825873322835,4.9519422460606055,
601,501,52.35826671543307,4.95193488530303,
599,501,52.35826671543307,4.951920163787879,
598,500,52.358274697637796,4.951912803030303,
596,500,52.358274697637796,4.951898081515151,
594,500,52.358274697637796,4.95188336,
593,499,52.35828267984252,4.951875999242424,
591,499,52.35828267984252,4.951861277727272,
589,499,52.35828267984252,4.9518465562121206,
588,498,52.358290662047246,4.9518391954545455,
586,498,52.358290662047246,4.951824473939394,
584,498,52.358290662047246,4.951809752424242,
583,497,52.35829864425197,4.951802391666666,
581,497,52.35829864425197,4.951787670151515,
579,497,52.35829864425197,4.951772948636363,
577,497,52.35829864425197,4.9517582271212115,
576,496,52.35830662645669,4.9517508663636365,
574,496,52.35830662645669,4.951736144848485,
572,496,52.35830662645669,4.951721423333333,
570,496,52.35830662645669,4.951706701818182,
568,496,52.35830662645669,4.95169198030303,
566,496,52.35830662645669,4.951677258787878,
564,496,52.35830662645669,4.951662537272727,
563,495,52.358314608661416,4.9516551765151515,
561,495,52.358314608661416,4.951640455,
559,495,52.358314608661416,4.951625733484848,
557,495,52.358314608661416,4.951611011969697,
555,495,52.358314608661416,4.951596290454545,
553,495,52.358314608661416,4.951581568939393,
551,495,52.358314608661416,4.9515668474242425,
549,495,52.358314608661416,4.951552125909091,
547,495,52.358314608661416,4.951537404393939,
545,495,52.358314608661416,4.951522682878788,
543,495,52.358314608661416,4.951507961363636,
541,495,52.358314608661416,4.951493239848484,
539,495,52.358314608661416,4.951478518333333,
537,495,52.358314608661416,4.951463796818182,
535,495,52.358314608661416,4.95144907530303,
533,495,52.358314608661416,4.951434353787879,
531,495,52.358314608661416,4.951419632272727,
529,495,52.358314608661416,4.951404910757575,
527,495,52.358314608661416,4.951390189242424,
525,495,52.358314608661416,4.9513754677272726,
523,495,52.358314608661416,4.951360746212121,
521,495,52.358314608661416,4.95134602469697,
519,495,52.358314608661416,4.951331303181818,
517,495,52.358314608661416,4.951316581666666,
515,495,52.358314608661416,4.951301860151515,
513,495,52.358314608661416,4.9512871386363635,
511,495,52.358314608661416,4.951272417121212,
509,495,52.358314608661416,4.951257695606061,
507,495,52.358314608661416,4.951242974090909,
505,495,52.358314608661416,4.951228252575757,
503,495,52.358314608661416,4.951213531060606,
501,495,52.358314608661416,4.951198809545454,
499,495,52.358314608661416,4.951184088030303,
498,496,52.35830662645669,4.951176727272727,
496,496,52.35830662645669,4.951162005757576,
494,496,52.35830662645669,4.951147284242424,
492,496,52.35830662645669,4.951132562727272,
490,496,52.35830662645669,4.951117841212121,
488,496,52.35830662645669,4.9511031196969695,
486,496,52.35830662645669,4.951088398181818,
484,496,52.35830662645669,4.951073676666667,
482,496,52.35830662645669,4.951058955151515,
480,496,52.35830662645669,4.951044233636363,
479,497,52.35829864425197,4.951036872878787,
477,497,52.35829864425197,4.951022151363636,
475,497,52.35829864425197,4.9510074298484845,
473,497,52.35829864425197,4.950992708333333,
471,497,52.35829864425197,4.950977986818182,
469,497,52.35829864425197,4.95096326530303,
467,497,52.35829864425197,4.950948543787878,
465,497,52.35829864425197,4.950933822272727,
463,497,52.35829864425197,4.9509191007575755,
461,497,52.35829864425197,4.950904379242424,
459,497,52.35829864425197,4.950889657727273,
457,497,52.35829864425197,4.950874936212121,
455,497,52.35829864425197,4.950860214696969,
453,497,52.35829864425197,4.950845493181818,
451,497,52.35829864425197,4.950830771666666,
449,497,52.35829864425197,4.950816050151515,
447,497,52.35829864425197,4.950801328636364,
445,497,52.35829864425197,4.950786607121212,
443,497,52.35829864425197,4.95077188560606,
441,497,52.35829864425197,4.950757164090909,
439,497,52.35829864425197,4.950742442575757,
437,497,52.35829864425197,4.9507277210606055,
435,497,52.35829864425197,4.950712999545455,
433,497,52.35829864425197,4.950698278030303,
431,497,52.35829864425197,4.950683556515151,
429,497,52.35829864425197,4.950668835,
427,497,52.35829864425197,4.950654113484848,
425,497,52.35829864425197,4.9506393919696965,
424,496,52.35830662645669,4.9506320312121215,
423,495,52.358314608661416,4.950624670454546,
422,494,52.35832259086614,4.95061730969697,
421,493,52.358330573070866,4.950609948939394,
420,492,52.35833855527559,4.950602588181818,
419,491,52.358346537480315,4.950595227424242,
418,490,52.35835451968504,4.950587866666666,
417,489,52.358362501889765,4.950580505909091,
416,488,52.358370484094486,4.950573145151515,
415,487,52.358378466299214,4.950565784393939,
414,486,52.358386448503936,4.950558423636363,
413,485,52.35839443070866,4.950551062878787,
412,484,52.358402412913385,4.9505437021212115,
411,483,52.358410395118106,4.9505363413636365,
410,482,52.358418377322835,4.950528980606061,
409,481,52.358426359527556,4.950521619848485,
408,480,52.358434341732284,4.950514259090909,
407,479,52.358442323937005,4.950506898333333,
406,478,52.358450306141734,4.950499537575757,
405,477,52.358458288346455,4.950492176818182,
404,476,52.358466270551176,4.950484816060606,
403,475,52.358474252755904,4.95047745530303,
402,474,52.358482234960626,4.950470094545454,
401,473,52.358490217165354,4.950462733787878,
400,472,52.358498199370075,4.9504553730303025,
399,471,52.3585061815748,4.9504480122727275,
398,470,52.358514163779525,4.950440651515152,
397,469,52.35852214598425,4.950433290757576,
396,468,52.358530128188974,4.95042593,
395,467,52.3585381103937,4.950418569242424,
394,466,52.358546092598424,4.950411208484848,
