type,time,latitude,longitude,altitude (m),speed (km/h),pace (min/km),course,distance (km),distance_interval (m),color,name,desc
T,13:56:46,52.35952749,4.948103484,-3,3.7,16.09,88.5,0.517,8.29,,,
T,13:56:48,52.35952137,4.94814313,-2.2,5,11.97,104.2,0.52,2.79,,,
T,13:56:56,52.35951978,4.94827548,-2.8,4.1,14.78,91.1,0.529,9.02,,,
T,13:57:05,52.35948047,4.948414788,-2.8,4.2,14.35,114.8,0.539,10.45,,,
T,13:57:12,52.35949413,4.948461978,-2.5,1.8,32.81,64.6,0.543,3.56,,,
T,13:57:20,52.35951383,4.948551916,-2.2,2.9,20.49,70.3,0.549,6.51,,,
T,13:57:23,52.35953629,4.948581001,-2.4,3.8,15.68,38.3,0.552,3.19,,,
T,13:57:25,52.35955356,4.948579743,-2.3,3.5,17.33,357.5,0.554,1.92,,,
T,13:57:34,52.35961382,4.948539846,-2.1,2.9,20.73,338,0.562,7.24,,,
T,13:57:42,52.35966856,4.948513694,-2,2.9,21.01,343.7,0.568,6.35,,,
T,13:57:47,52.35968876,4.94848595,-2.1,2.1,28.38,320,0.571,2.94,,,
T,13:57:50,52.35971541,4.948455859,-1.5,4.3,13.87,325.4,0.574,3.61,,,
T,13:57:58,52.35977266,4.948397772,-2.7,3.4,17.78,328.2,0.582,7.5,,,
T,13:58:07,52.35983611,4.948374135,-2,2.9,20.71,347.2,0.589,7.24,,,
T,13:58:11,52.35983896,4.948310936,-2.4,3.9,15.44,274.2,0.594,4.32,,,
T,13:58:19,52.35983335,4.948218567,-2.3,2.8,21.08,264.3,0.6,6.32,,,
T,13:58:24,52.35984542,4.948197193,-2.1,1.4,42.07,312.8,0.602,1.98,,,
T,13:58:30,52.35988632,4.948104573,-2,4.7,12.85,305.9,0.61,7.78,,,
T,13:58:36,52.35993636,4.948086636,-2.3,3.4,17.54,347.7,0.615,5.7,,,
T,13:58:46,52.36000844,4.94804481,-2.5,3.1,19.58,340.5,0.624,8.51,,,
T,13:58:53,52.36001791,4.948056964,-2.4,0.7,87.05,38.1,0.625,1.34,,,
T,13:59:02,52.36002923,4.948084708,-2.3,0.9,66.05,56.3,0.627,2.27,,,
T,13:59:11,52.36003359,4.948078003,-2.2,0.3,225.14,316.8,0.628,0.67,,,
