type,time,latitude,longitude,altitude (m),speed (km/h),pace (min/km),course,distance (km),distance_interval (m),color,name,desc
T,13:44:06,52.35851688,4.951936193,-7.9,4.7,12.74,356.5,0.049,1.31,,,
T,13:44:07,52.35852527,4.951943569,-7.3,3.8,15.73,28.3,0.05,1.06,,,
T,13:44:08,52.35853172,4.951952873,-7.6,3.4,17.4,41.4,0.051,0.96,,,
T,13:44:09,52.35853692,4.951965949,-7.8,3.8,15.69,56.9,0.052,1.06,,,
T,13:44:10,52.3585432,4.951979108,-7.7,4.1,14.66,52,0.054,1.14,,,
T,13:44:11,52.35854832,4.951981706,-7.8,2.1,27.97,17.2,0.054,0.6,,,
T,13:44:12,52.35855536,4.951984556,-7.8,2.9,20.65,13.9,0.055,0.81,,,
T,13:44:13,52.3585608,4.951995201,-7.3,3.4,17.63,50,0.056,0.95,,,
T,13:44:14,52.35856449,4.95200811,-7.4,3.5,17.17,64.9,0.057,0.97,,,
T,13:44:15,52.35856785,4.952021437,-7.8,3.5,16.98,67.6,0.058,0.98,,,
T,13:44:16,52.35856986,4.952033926,-7.7,3.2,18.94,75.2,0.059,0.88,,,
T,13:44:17,52.35857757,4.952039123,-8.1,3.3,17.95,22.4,0.06,0.93,,,
T,13:44:18,52.35858285,4.952047169,-7.6,2.9,20.74,42.9,0.06,0.8,,,
T,13:44:19,52.35858536,4.952057395,-7.7,2.7,22.2,68.1,0.061,0.75,,,
T,13:44:20,52.35859207,4.952066531,-7.4,3.5,17.15,39.8,0.062,0.97,,,
T,13:44:21,52.35859651,4.952080362,-7.6,3.8,15.66,62.3,0.063,1.06,,,
T,13:44:22,52.35860112,4.952094443,-7.8,3.9,15.32,61.8,0.064,1.09,,,
T,13:44:23,52.35860741,4.952105507,-8.1,3.7,16.21,47.1,0.065,1.03,,,
T,13:44:24,52.35861143,4.952118332,-8.2,3.5,16.98,62.8,0.066,0.98,,,
T,13:44:25,52.3586168,4.952127384,-7.8,3.1,19.42,45.9,0.067,0.86,,,
T,13:44:26,52.35862166,4.952140544,-7.9,3.8,15.92,58.8,0.068,1.05,,,
T,13:44:27,52.3586261,4.95214574,-7.5,2.2,27.41,35.5,0.069,0.61,,,
T,13:44:28,52.35862845,4.952151608,-7.6,1.7,34.91,56.8,0.069,0.48,,,
T,13:44:29,52.35863205,4.952160493,-7.5,2.6,22.95,56.4,0.07,0.73,,,
T,13:44:30,52.35863566,4.952168958,-7.4,2.5,23.73,55.1,0.071,0.7,,,
T,13:44:31,52.35864085,4.952175915,-7.5,2.7,22.29,39.3,0.071,0.75,,,
T,13:44:32,52.35864328,4.95218019,-7.3,1.4,41.93,47,0.072,0.4,,,
T,13:44:33,52.35865007,4.952185722,-7.6,3,19.74,26.5,0.073,0.84,,,
T,13:44:34,52.35865661,4.952188907,-7.7,2.7,21.95,16.6,0.073,0.76,,,
T,13:44:35,52.3586629,4.952194607,-7.8,2.9,20.83,29,0.074,0.8,,,
T,13:44:36,52.35866826,4.952196702,-7,2.2,27.16,13.4,0.075,0.61,,,
T,13:44:37,52.35867254,4.952199049,-7.1,1.8,33.21,18.5,0.075,0.5,,,
T,13:44:38,52.35867555,4.952209443,-7,2.8,21.27,64.6,0.076,0.78,,,
T,13:44:39,52.35867815,4.952227296,-7.4,4.5,13.33,76.6,0.077,1.25,,,
T,13:44:40,52.35868469,4.952237103,-7.4,3.6,16.87,42.5,0.078,0.99,,,
T,13:44:41,52.35869181,4.952242049,-7.1,3.1,19.35,23,0.079,0.86,,,
T,13:44:42,52.35870078,4.952252861,-7,4.5,13.44,36.4,0.081,1.24,,,
T,13:44:43,52.35870883,4.952263171,-6.9,4.1,14.65,38,0.082,1.14,,,
T,13:44:44,52.35871721,4.952278007,-7.1,5,12.12,47.2,0.083,1.38,,,
T,13:44:45,52.35872501,4.95229301,-7.4,4.8,12.43,49.6,0.084,1.34,,,
