locations,GPSA_Timestamp,GPSB_Timestamp
T128,09:05:50,09:05:50
T075,09:08:43,09:08:43
T073,09:09:36,09:09:36
T138,09:11:51,09:11:51
T140,09:13:03,09:13:03
T061,09:14:58,09:14:58
T149,09:16:54,09:16:54
T153,09:18:30,09:18:30
T155,09:20:40,09:20:40
T156,09:22:00,
T030,09:23:14,
T021,09:24:41,
T018,09:26:49,
T015,09:28:54,
T089,09:43:24,
T099,09:46:11,
T108,09:49:03,
T112,09:50:07,
T122,09:52:38,
T124,09:53:00,
